ID,Department Custodian,Department Name of Data System,Purpose,General description of categories or types of data,Vendor,Product,Frequency Data Collected,Frequency Data Updated,Data Classification - High,Data Classification - Low
CON-0002-S,Controller,Budget Preparation,Budget preparation system,Budget Preparation data is entered by departments into an IBM/Cognos based system.,Multiple,Oracle Database 11g; Informatica 9.1; IBM/Cognos 10.2,Daily,Daily,Level 1 - Public,Level 1 - Public
CON-0003-S,Controller,Performance Measurement,Performance measurement data entry system,Performance Measurement data is entered by departments into an IBM/Cognos based system.,Multiple,Oracle Database 11g; Informatica 9.1; IBM/Cognos 10.2,Daily,Daily,Level 1 - Public,Level 1 - Public
CON-0005-S,Controller,City Survey Results,Database of responses to surveys evaluating City services and other community issues,Biennial study of residents' perceptions of the quality of select City services and other community issues.,Microsoft,MS Excel,Yearly,Yearly,Level 1 - Public,Level 1 - Public
CON-0006-S,Controller,Parks,Database of City park maintenance standards and compliance inspection results,Maintenance standards for parks and schedules and inspect for compliance since July 2004.,Microsoft,MS Access,Yearly,Yearly,Level 1 - Public,Level 1 - Public
CON-0007-S,Controller,Streets & Sidewalks,Database of City street and sidewalk maintenance standards and compliance inspection results,Maintenance standards for streets and sidewalks and schedules and inspect for compliance since July 2004. This data file consolidates street and sidewalk inspection results FY07-FY11.,Microsoft,MS Excel,Monthly,Monthly,Level 1 - Public,Level 1 - Public
CON-0008-S,Controller,F$P Reports and Analytics,Financial reporting and analytics system,Significant portions of the data in the City's PeopleSoft ERP system are transformed and loaded nightly to an Oracle database and used as the source for an Oracle Business Intelligence Enterprise Edition reporting system. This system is used for current (FY2018 and beyond) financial reporting.,Oracle,"Oracle Database 11g, Oracle Data Integrator 11g, Oracle Business Intelligence Enterprise Edition 12c",Daily,Daily,Level 3 - Sensitive,Level 1 - Public
CON-0009-S,Controller,Regression data for Inclusionary Housing Simulation Model,Housing development research,"In order to understand how higher inclusionary housing requirements affects the feasibility of new market-rate housing development, the Controller's Office contracted with Blue Sky Consulting Group to statistically model the factors that affect the probability of housing development in San Francisco. This data underlies the model reported in our preliminary report. An overview of the statistical analysis is provided in main section of the report, with more details provided in the Appendix.",Microsoft,MS Excel,Not updated (historical only),Not updated (historical only),Level 1 - Public,Level 1 - Public
CPC-0002-S,Planning,PPTS,"Tracking permits, performance measures, time accounting, etc","Accela based system for tracking permits, performance measures, time accounting, etc",Accela,COTS,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
CPC-0003-S,Planning,GIS Database,Hosts and maintains geographic data for the department,Geographic data for the department,PostgreSQL,PostgreSQL,Daily,Daily,Level 3 - Sensitive,Level 1 - Public
CPC-0004-S,Planning,File Server,Hosts Planning Dept. documents and files,Planning Dept. documents and files,Microsoft,Microsoft,Daily,Daily,Level 3 - Sensitive,Level 1 - Public
DAT-0002-S,District Attorney,DAMION,"Primary case management system for the San Francisco District Attorney's Office, including criminal case processing, juvenile case processing, victim services, and district attorney investigations.",Case management system.,Courtview Justice Solutions,Courtview Justice Solutions,As Needed,As Needed,Level 4 - Protected,Level 3 - Sensitive
DBI-0001-S,Building Inspection,Permit Tracking System (PTS),Permit tracking,Transactions relating to the Department of Building Inspection's permitting processes.,Oracle,Oracle,Daily,Daily,Level 1 - Public,Level 1 - Public
DBI-0003-S,Building Inspection,PPTS,Permit and entitlement tracking,"Shared system between Planning and DBI hosted by third-party vendor, Accela, not yet operational for DBI",Accela,Accela Land Management,Daily,Daily,Level 1 - Public,Level 1 - Public
DHR-0001-S,Human Resources,Peoplesoft,Tracking human resources related data,"human resources data; compensation, time and labor, eligibility, classification, demographics, etc.",Oracle,PeopleSoft,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
DHR-0002-S,Human Resources,JobAps,Providing listings for jobs,"Job announcements, employment applications",JobAps,JobAps,Continuous,Continuous,,
DPH-0002-S,Public Health,Avatar,Electronic Health Record,"The Clinical portion of the Avatar System. Contains: Treatment Plans, Assessments, Progress notes, etc. for all San Francisco Mental Health and Substance Abuse programs.",Netsmart,MH/SA Electronic Health Record,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0005-S,Public Health,Infoscriber (aka OrderConnect),E-prescription software,The portion of the Avatar project that allows for E-prescribing. Contains patient and prescription data.,Netsmart,MH/SA Electronic Health Record,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0006-S,Public Health,Methasoft,Methadone dispensing,Track dispensing of methadone for methadone programs.,Netalytics,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0009-S,Public Health,Teleforms v.10.2,"Form creation software, used for confidential client surveys",Form design/scanning App; main use: survey scanning. Used to create client satisfaction surveys.,Hershey Technologies,Custom,As Needed,As Needed,Level 4 - Protected,Level 2 - Internal Use
DPH-0010-S,Public Health,VisualSuperscript,Pharmacy administration,For CBHS Pharmacy use at 1380 Pharmacy,"DAA Enterprises, Inc. (800) 359-5580",Custom,Continuous,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0017-S,Public Health,CalMeds,Determining patient eligibility,Web-based State Patient Eligibility and Share of Cost Verification; Used by LHH and SFGH,State,online database,Continuous,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0018-S,Public Health,CCMS Coordinated Care Management System,Electronic Health Record,Includes bio-psycho-social histories of patients who have used the city̢'s safety net or urgent emergent services.,SFDPH,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0022-S,Public Health,SFDPH Child Health and Disability Prevention (CHDP) Quality and Assurance System,Case management application,"CHDP case management and tracking. Contains client, treatment, and diagnostic data.",State,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0033-S,Public Health,Core Variables,HIV prevention,Data is entered by HIV Prevention Section (HPS)community agencies into this application.,DPH,MS Access,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0035-S,Public Health,Death Registry,Death Registry,Death data for San Francisco residents (regardless of location) and for all deaths taking place within San Francisco county.,State,Custom,As Needed,As Needed,Level 4 - Protected,Level 3 - Sensitive
DPH-0049-S,Public Health,Environmental Health -HAZMAT Emergency Response,HAZMAT Emergency Response Management,"Regulatory Program Database;Tracking of violations, inspections, verification of business, and billing related to HAZMAT emergency response.",DPH,Custom,As Needed,As Needed,Level 2 - Internal Use,Level 1 - Public
DPH-0059-S,Public Health,Integrated Case and Outbreak Management System (ICOMS) - Chronic Hep module,Chronic Hepatitis management software,Risk factor and exposure information for chronic hepatitis B & C.,SFDPH Communicable Disease Control Unit,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0060-S,Public Health,Integrated Case and Outbreak Management System (ICOMS) - CORE data,Disease Outbreak Management,Integrated disease case and outbreak management system for the DPH,SFDPH Communicable Disease Control Unit,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0061-S,Public Health,Integrated Case and Outbreak Management System (ICOMS) - DCMS module,Disease Outbreak Management,General risk factor information for cases,SFDPH Communicable Disease Control Unit,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0062-S,Public Health,Integrated Case and Outbreak Management System (ICOMS) - GI module,Disease Outbreak Management,Risk factor and exposure information for campylobacter,SFDPH Communicable Disease Control Unit,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0063-S,Public Health,Integrated Case and Outbreak Management System (ICOMS) - Rabies module,Disease Outbreak Management,Risk factor and exposure information for rabies,SFDPH Communicable Disease Control Unit,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0064-S,Public Health,Integrated Case and Outbreak Management System (ICOMS) - WNV module,Disease Outbreak Management,Risk factor and exposure information for WNV,SFDPH Communicable Disease Control Unit,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0065-S,Public Health,IMPAX (will be renamed IDC with upgrade),Imaging data software,IMPAX Data Center stores multi-department imaging data in a single enterprise repository and centralizes access to all images.,AGFA Healthcare,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0066-S,Public Health,"Infection Control (SFGH, UCSF)",Infection control surveillance software,"a collection of surveillance applications used to collect, aggregate and analyze data in order to identify infections and contain them.",SFGH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0068-S,Public Health,INVISION - Clinicals,Electronic Health Record,Certified eHR vendor to meet Meaningful Use. Provider order entry's CPOE,Siemens,Electronic Health Record,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0069-S,Public Health,INVISION - Ptn Accting,Patient Accounting,"Charge capture and billing for all COPC, LHH, BHC and SFGH including billing for some diagnostic",Siemens,Electronic Health Record,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0070-S,Public Health,INVISION - Ptn Mgmt,Patient Management,Patient Management Component of the Invision program,Siemens,Electronic Health Record,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0071-S,Public Health,INVISION - Resource Scheduling,Appointment scheduling,Appointments for all COPC and SFGH based clinics,Siemens,Electronic Health Record,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0072-S,Public Health,ISCHTR,STD Clinic database and STD Section Surveillance Database,STD Clinic database and STD Section Surveillance Database,DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0073-S,Public Health,IVANS,Medical Billing,Follow-up Medicare Electronic Billing and status; DDE (Direct Data Entry) Validation,UGS - United Govt Services (Fiscal Intermediary),Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0074-S,Public Health,IZ Clinic (formerly ICMS),Immunization services,"Managing clients' immunization services and history, billing and vaccine inventory for the Adult Immunization; automated program to parse SFGH spreadsheets to Access database for recent patient lookup.",DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0077-S,Public Health,LINCS Navigation,Patient engagement,Tracking data base for HIV positive patients enrolled in navigation services to link patients back in care.,DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0079-S,Public Health,MAC Lab,Catheter lab software,Used at cath lab at SFGH,GE/Boston,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0083-S,Public Health,MIARC,Anesthesia database,Anesthesia database that allows collection of perioperative data from scanned forms for quality assurance,MIARC,Custom,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0085-S,Public Health,MLAB,Public Health Laboratory database,"Public Health Laboratory database Includes confirmatory HIV testing, STD testing, microbiology","Common Cents Systems, Inc. 4701 Trousdale Dr, Ste 119, Nashville, TN 37220",Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0089-S,Public Health,Oaxaca,TB Surveillance,TB Surveillance,DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0097-S,Public Health,Vital Records Order Logistics,Birth/Death certificate ordering,Vital Records Order Tracking System; used to track orders of death and birth certificates.,DPH,Oracle,As Needed,As Needed,Level 3 - Sensitive,Level 3 - Sensitive
DPH-0099-S,Public Health,ORTHOPEDICS TRAUMA INPATIENT SERVICE DATABASE,Medical documentation,Used to generate notes for inpatients and to track fiscal information.,Microsoft,MS Access,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0102-S,Public Health,Patient Referral Tracking (Laguna Honda),Referral tracking,"Web-based mgmt of Referrals from SFGH to LHH. Contains patient identifiers, diagnoses, benefits information.",DPH SFGH I/S,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0106-S,Public Health,INVISION - Progress notes,Electronic Health Record,Part of a medical record where healthcare professionals record details to document a patient's clinical care.,Siemens,Electronic Health Record,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0109-S,Public Health,RMS - Siemens Syngo,Radiology Information system,"Radiology Information system used for ordering, tracking and billing radiological studies",Siemens,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0111-S,Public Health,RTZ SFGetCare,Client care placement,"Used by SFDPH Transitions staff for placing, managing, and discharge planning of clients in appropriate levels of care.",RTZ,Custom,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0121-S,Public Health,Vital Records Data Store,Birth/Death certificate electronic storage,Vital Records Birth and Death records with image storage and retrieval,DPH,Oracle,As Needed,As Needed,Level 4 - Protected,Level 3 - Sensitive
DPH-0125-S,Public Health,Environmental Health Agriculture Program,Agriculture Program Management,"Tracking of violations, inspections, verification of business, and billing related to the Agriculture Program.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0127-S,Public Health,Environmental Health - ASBESTOS,ASBESTOS Management,"Tracking of violations, inspections, verification of business, and billing related to asbestos.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0128-S,Public Health,Environmental Health - ASTHMA,ASTHMA Management,"Tracking of violations, inspections, verification of business, and billing related to asthma.",DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 1 - Public
DPH-0133-S,Public Health,Environmental Health - Apartment Health Violations,Apartment Health Violations Management,"Provide public access to inspections, violations and complaints data.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0134-S,Public Health,Environmental Health - Food Safety Scores,Food Safety Scores Management,Provides inspection results and scores to EH public webside from 7000+ food facilities.,DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0135-S,Public Health,Environmental Health - Hotel Health Violations,Hotel Health Violations Management,"Tracking of violations, inspections, verification of business, and billing related to hotel health violations.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0136-S,Public Health,Environmental Health - Hazardous Waste,Hazardous Waste Management,"Tracking of violations, inspections, verification of business, and billing related to hazardous waste management.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0137-S,Public Health,Environmental Health - HUNTERS PT AND TREASURE IS HAZMAT,HUNTERS PT AND TREASURE IS HAZMAT Management,"Tracking of violations, inspections, verification of business, and billing related to hazardous materials in the Hunters Point and Treasure Island locations.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0138-S,Public Health,Environmental Health -LEAD,LEAD Management,"Tracking of violations, inspections, verification of business, and billing related to lead containment.",DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 1 - Public
DPH-0139-S,Public Health,Environmental Health - LIENS,LIENS Management,"Environmental Health Liens database: contains violations, inspections, facility information.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0142-S,Public Health,Environmental Health - Radio Frequency Program,Radio Frequency Program Management,"The goal of the Environmental Health Department's Radio Frequency Program is to ensure radio frequency (RF) exposure limits in San Francisco are within a regulated standard and do not cause human health hazards Database containsviolations, inspections, verification of business, billing info.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0145-S,Public Health,Enviromental Health - Water Quality,Water Quality Management,"Tracking of violations, inspections, verification of business, and billing related to Water Quality.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0146-S,Public Health,Enviromental Health - Weights and Measures,Weights and Measures Management,"Tracking of violations, inspections, verification of business, and billing related to Weights and Measures.",DPH,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
DPH-0149-S,Public Health,ADL MDS,Patient data collection,"Collects nursing, nutritional, activity therapy, social services and rehab assessment data. Used by LHH: Nursing",Eulisys Fleming 914-591-1800,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0153-S,Public Health,AutoMed FastPak EXP,Medication Packaging,"PHI collected: Patient name, date of birth and MRN. Unit does Medication packaging; Used by LHH.",AmerisourceBergen,Custom,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0157-S,Public Health,Clintegrity360,Medical Coding software,"Providing an efficient way for clinicians to create more complete and compliant clinical documentation, Clintegrity is the HIS encoder for submitting billing claims to PFS and generating OSHPD reporting.",Nuance,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0162-S,Public Health,Digital Pen Software,Ulcer prevention,"On-Time Prevention of Pressure Ulcers system; Form Valuing/Printing - e.g. Ulcers;
Used by LHH",Digital Pen Systems,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0166-S,Public Health,FileZilla,File Transfer portal,FTP CURES reports to DOJ;,Atlantic Associates,Custom,As Needed,As Needed,Level 4 - Protected,Level 2 - Internal Use
DPH-0167-S,Public Health,Hospital Consumer Assessment of Healthcare Providers and Systems (HCAHPS),Consumer surveying,"The HCAHPS (Hospital Consumer Assessment of Healthcare Providers and Systems) survey is the first national, standardized, publicly reported survey of patients' perspectives of hospital care.",NRC Picker - National Research Corp,Custom,As Needed,As Needed,Level 4 - Protected,Level 1 - Public
DPH-0175-S,Public Health,MRDD (Mental Retardation Developmental Disability),Developmental Disability assessment,Mental Retardation Developmental Disability - Assessment by GGRC (Golden Gate Regional Center) stds to track about 50 patients and their history of respite care,LHH,MS Access,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0176-S,Public Health,NeuroPsyc Application (Standalone),Neuropsych application,Managed/contained on one PC in neuropsych dept,DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0181-S,Public Health,Placement Referral Tracking,Referral tracking,"Used to make referrals for admitted patients at SFGH or LHH to outside facilities. Contains patient identifiers, diagnoses, benefits information.",DPH SFGH I/S,Custom,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0183-S,Public Health,QS/1 Pharmacy,Pharmacy Management,Long Term Care pharmacy system used to fill and bill medication orders. Tracks medications and billing.,QS/1,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0185-S,Public Health,Resident Lookup,Patient location,Quick lookup of in-house residents/location; generation of pictured descriptive 'wanted' flyers for missing patient notification to legal agency.,LHH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0196-S,Public Health,Unusual Occurrence,Unusual occurrence registry,"MS access database for UO reports for LH Risk Management. Report incidents for internal review, M&M and Risk Management",DPH,MS Access,As Needed,As Needed,Level 4 - Protected,Level 2 - Internal Use
DPH-0198-S,Public Health,Waitlist Tracking,Patient admissions,Tracking and statistical reporting of persons waiting for LHH Admissions.,LHH,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0201-S,Public Health,Encore Delta (Health at Home),Electronic Health Record,EHR used by Health At Home program.,Delta Health Technologies LLC,Electronic Health Record,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0206-S,Public Health,AGFA ICIS,Radiology imaging,Radiology; Clinical use.,AGFA,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0209-S,Public Health,ASI-DENS,Substance Use Treatment outcomes measurement,"Used by SFGH, Addiction Severity Index (ASI), treatment outcomes measurement.",Treatment Research Institute,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0211-S,Public Health,HUGS Baby Tracker Child Monitoring System,Baby location monitoring software,An RFID-based Infant Protection System that delivers an unprecedented level of security against infant abduction.,Stanley Healthcare; Advantage Medical Inc. (AMI),Custom,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0213-S,Public Health,Bed Control/Tracking,Bed control/tracking,Bed control tracking at SFGH.,Entisys,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0214-S,Public Health,Cancer Alert System (CAS),Cancer Alert System,Cancer Alert at SFGH Medical Records: Identifying all hospital cancer cases can be tedious and costly work.,C/NET Solutions,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0217-S,Public Health,Care Enhance Review Manager Enterprise (CERME),Care review software,"Case/Utilization Management; a browser-based, interactive product that helps automate & streamline the care review process & enables data retrieval & aggregated reporting.",McKesson,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0220-S,Public Health,CBord,nutritional software,"Nutritional System, track diet orders; Used by SFGH & LHH. Receives printed ADT notices from Invision.","The CBORD Group, Inc. 61 Brown Road, Ithaca, NY 14850",Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0221-S,Public Health,Consultation Liaison (CL),Patient consultation tracking software,Tracks caseload and services for Consultation Liaison,Local,Custom,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0222-S,Public Health,coPath Plus,Pathology Information,Pathology Information System; Used at SFGH,Cerner,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0223-S,Public Health,Craneware,Billing software,"Specialists in software for health care billing, auditing, chargemaster management and medicare compliance. Used by DPH Business Office",Craneware,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0227-S,Public Health,eCW (eClinical Works)/CareLink SF,Electronic Health Record,"Certified eHR for Meaningful Use. Ambulatory Care documentation for all services as well as clinical care. Receives and stores data from other systems, as well.",eCW,Electronic Health Record,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0230-S,Public Health,EPATH,Cancer identification application,An automated cancer identification and reporting solutions; used at SFGH,"Artificial Intelligence in Medicine, Inc. (AIM)",Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0234-S,Public Health,"Gemweb -ABG, Bld",Medical point-of-care testing,"Point-of-Care testing, generates test data containing MRN and clinical test results.",Instrumentation Laboratory (IL-Benelux) CH-Werfen Company USA LLC,Custom,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0238-S,Public Health,HemaTrax,Blood bank management,Blood Bank Mgt.,Digi-Trax,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0241-S,Public Health,Philips ICCA - Intellivue Critical Care Anesthesia,Intensive Care Unit clinical documentation software,"Critical Care;
ICU clinical documentation system for nursing and respiratory technician staff;",Philips Medical Systems,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0250-S,Public Health,MAK Med Administration Checking,Medication administration,Utilizes point-of-care barcode technology to automatically validate and document the medication administration process.,Siemens,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0258-S,Public Health,Ophthalmic Imaging Systems (OIS),Opthalmic electronic health record,"Ophthalmic imaging & informatics solutions with a platform EHR & practice mgmt sys, digital imaging mgmt",Merge,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0265-S,Public Health,"PACS wizards (dose, contacts)",Medical documentation,Radiology. Contains dosing information.,Local / In-house,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0267-S,Public Health,Pathlinks,Clinical and financial administration,A tested solution that manages clinical and financial business functions for large and small organizations.,Achieve Healthcare,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0275-S,Public Health,PulseCheck Emergency Dept Charting(PICIS),Patient Documentation,"Emergency Dept
Physician and Nurse Charting of all Emergency Department cases.","PICIS, Optum-Insight",Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0277-S,Public Health,Q-Path,Ultrasound software,"Designed to meet the specific needs of departments performing ultrasound at the point of care, including Emergency Medicine, Critical Care, Anesthesia, and many others.",Telexy,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0278-S,Public Health,Radiologue -Clinical Image Scheduling/Details,Radiology application,Radiology; a web-based radiology application that enhances communication among; Whiteboard / protoc,Local - UCSF Custom Built,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0281-S,Public Health,Respironics,Sleep/Respiratory Monitoring System,Sleep/Respiratory Monitoring System,Philllips,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0285-S,Public Health,Softmed,Document creation and signature,"Used in SFGH Medical Records dept. Document creation & distribution that enable clinicians to develop, edit & electronically sign patient documents",3M,Custom,As Needed,As Needed,Level 4 - Protected,Level 2 - Internal Use
DPH-0287-S,Public Health,Sunquest Lab System,laboratory management,"SFGH clinical lab database
Lab Management End to End",Sunquest,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0293-S,Public Health,Tracemaster EKG - IntelliSpace ECG,EKG image storage,"EKG Management System, stores images.",Phillips,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0297-S,Public Health,WatchChild Clinical Documentation and Fetal Monitoring,Fetal monitoring,Obstetrics application; functionality includes fetal monitoring and recording; labor and delivery RN,Hill-Rom,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
DPH-0304-S,Public Health,Jail Information Management System (JIMS),Electronic Health Record,Electronic health record for Jail Health Services; replaced CHART. Contains patient identifiers and diagnoses.,JIMS,Electronic Health Record,Daily,Daily,Level 4 - Protected,Level 4 - Protected
DPH-0305-S,Public Health,Medical Respite Application,Medical Respite program administration,"SFDPH-developed application that is used by Medical Respite program to manage beds, track patient stays, admissions, discharges, outcomes, etc.",DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0306-S,Public Health,Sobering Center Application,Sobering Center clinical application,SFDPH-developed application that documents all patient stays at the Sobering Center.,DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0307-S,Public Health,San Francisco Homeless Outreach Team (SFHOT) Case Management Application,Case management application,"SFDPH-developed application, embedded within the Coordinated Care Management System.",DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0308-S,Public Health,Stabilization Room Reservation System (SRRS),Reservation of stabilization rooms,SFDPH-developed application used to document client stays in stabilization rooms.,DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0309-S,Public Health,Direct Access to Housing database (DAH),Housing management,"SFDPH-developed application used to track client referrals, applications, stays, discharges, and outcomes in Direct Access to Housing (DAH) funded supportive housing.",DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0318-S,Public Health,ICOMS - Chronic Viral Hepatitis Registry,Chronic Viral Hepatitis Registry,"Registry of chronic viral heptitis, contains protected health information",Custom,Custom,As needed,As needed,Level 4 - Protected,Level 4 - Protected
DPH-0327-S,Public Health,PSYCH/PES eChart,Electronic Health Record,"eCharts for Psychiatry and Psychiatric Emergency Services, contains protected health information",UCSF,Custom,Multiple times per hour,Multiple times per hour,Level 4 - Protected,Level 4 - Protected
DPH-0331-S,Public Health,SFDPH Influenza Testing Database,Influenza testing database,"Influenza testing records kept by hospitals administered by department of public health, contains protected health information",DPH,Custom,As needed,As needed,Level 4 - Protected,Level 4 - Protected
DPH-0332-S,Public Health,Trauma One,Trauma Registry,"A registry of trauma related data for the department of public health adminstered hospitals, contains protected health information",Lancet Technology,Trauma One,Multiple times per hour,Multiple times per hour,Level 4 - Protected,Level 4 - Protected
DPH-0340-S,Public Health,ARIES,HIV Health Services database for reporting to State and Feds,HIV Health Services data,DPH,Custom,As Needed,As Needed,Level 4 - Protected,Level 4 - Protected
DPH-0360-S,Public Health,Exchange Microsoft email,Communications,Email system,Microsoft,Custom,Continuous,Continuous,Level 4 - Protected,Level 1 - Public
DPH-0361-S,Public Health,FAMIS / ADPICS,Purchasing,"City's Financial System - Budget and Purchasing processing; Used by both LHH & SFGH..

Famis month-end processing.",FAMIS,Custom,As Needed,As Needed,Level 3 - Sensitive,Level 2 - Internal Use
DPH-0362-S,Public Health,First Watch,911 monitoring,911 CAD data translation for real-time system monitoring; 911 response reports and analysis; data going back 10 years; system reports,FirstWatch,Custom,As needed,As needed,Level 4 - Protected,Level 1 - Public
DPH-0365-S,Public Health,Invision ePrescribe,Prescription software,allows providers to prescribe meds Outside the SFGH.,Siemens,Electronic Health Record,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
